prompt_name,llm,use_case,raw_entity,raw_states,lexname,kept_lexical,rejection_reason,dedup_rule,final_entity,final_states
one_shot,meta/llama-3.1-8b-instruct,job_application,job_application,written;sent;confirmed;negotiated;received;rated;seen;permanent;probation,ENTITY,True,,,job_application,written;sent;confirmed;negotiated;received;rated;seen;permanent;probation
one_shot,meta/llama-3.1-8b-instruct,job_application,job_offer,sent;confirmed;rated;permanent,ENTITY,True,,,job_offer,sent;confirmed;rated;permanent
one_shot,meta/llama-3.1-8b-instruct,job_application,company,confirmed;rated;seen;permanent,ACTOR,False,,,,
one_shot,meta/llama-3.1-8b-instruct,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,meta/llama-3.1-8b-instruct,job_application,job,permanent;probation,ENTITY,True,,,job,permanent;probation
one_shot,meta/llama-3.1-8b-instruct,job_application,reviews,seen,ENTITY,True,,,reviews,seen
one_shot,meta/llama-3.3-70b-instruct,job_application,job_application,sent;received;rated,ENTITY,True,,,job_application,sent;received;rated
one_shot,meta/llama-3.3-70b-instruct,job_application,job_offer,sent;negotiated,ENTITY,True,,,job_offer,sent;negotiated
one_shot,meta/llama-3.3-70b-instruct,job_application,company,rated;reviewed,ACTOR,False,,,,
one_shot,meta/llama-3.3-70b-instruct,job_application,job,probation;permanent,ENTITY,True,,,job,probation;permanent
one_shot,meta/llama-3.3-70b-instruct,job_application,review,visible,ENTITY,True,,,review,visible
one_shot,mistralai/mistral-nemotron,job_application,job_application,reported;received;rated,ENTITY,True,,,job_application,reported;received;rated
one_shot,mistralai/mistral-nemotron,job_application,potential_job_offer,sent,ENTITY,True,,,potential_job_offer,sent
one_shot,mistralai/mistral-nemotron,job_application,company,confirmed;rated,ACTOR,False,,,,
one_shot,mistralai/mistral-nemotron,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,mistralai/mistral-nemotron,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,mistralai/mistral-nemotron,job_application,review,seen,ENTITY,True,,,review,seen
one_shot,mistralai/mistral-nemotron,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,openai/gpt-oss-20b,job_application,job_application,sent;confirmed;rated;reported,ENTITY,True,,,job_application,sent;confirmed;rated;reported
one_shot,openai/gpt-oss-20b,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,openai/gpt-oss-20b,job_application,company,received_application;rated;negotiated,ACTOR,False,,,,
one_shot,openai/gpt-oss-20b,job_application,interview,negotiated,ENTITY,True,,,interview,negotiated
one_shot,openai/gpt-oss-20b,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,openai/gpt-oss-20b,job_application,review,seen,ENTITY,True,,,review,seen
one_shot,openai/gpt-oss-20b,job_application,job,permanent;ended;continued,ENTITY,True,,,job,permanent;ended;continued
one_shot,openai/gpt-oss-120b,job_application,job_application,reported;confirmed;rated,ENTITY,True,,,job_application,reported;confirmed;rated
one_shot,openai/gpt-oss-120b,job_application,job_offer,sent;permanent;ended;continued,ENTITY,True,,,job_offer,sent;permanent;ended;continued
one_shot,openai/gpt-oss-120b,job_application,company,confirmed;rated;review_visible,ACTOR,False,,,,
one_shot,openai/gpt-oss-120b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,openai/gpt-oss-120b,job_application,probation_phase,entered;completed,INDETERMINATE,True,,,probation_phase,entered;completed
one_shot,openai/gpt-oss-120b,job_application,review,visible,ENTITY,True,,,review,visible
one_shot,mistralai/mistral-large-3-675b-instruct-2512,job_application,,,,,"ERROR: Error code: 410 - {'type': 'about:blank', 'title': 'Gone', 'status': 410, 'detail': ""The model 'mistralai/mistral-large-3-675b-instruct-2512' has reached its end of life on 2026-07-23T09:00:00Z and is no longer available.""}",,,
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_application,received;rated,ENTITY,True,,,job_application,received;rated
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,probation_phase,entered;completed,INDETERMINATE,True,,,probation_phase,entered;completed
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,company_rating,given;seen,ENTITY,True,,,company_rating,given;seen
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,report,required,ENTITY,True,,,report,required
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_application,reported;confirmed;rated,ENTITY,True,,anaphoric_containment,job_application,reported;confirmed;rated;received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_offer,sent,ENTITY,True,,morphological_identity,job_offer,sent;received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,rating,given;received,ENTITY,True,,,rating,given;received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,company,confirmed;rated,ACTOR,False,,,,
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job,permanent;lost,ENTITY,True,,anaphoric_containment,permanent_job,entered;permanent;lost
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,report,required,ENTITY,True,,,report,required
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,application,received;rated,ENTITY,True,,anaphoric_containment,job_application,reported;confirmed;rated;received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_offers,received,ENTITY,True,,morphological_identity,job_offer,sent;received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,candidate,rated,ACTOR,False,,,,
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,process,ended;continued,ENTITY,True,,,process,ended;continued
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,year,passed,INDETERMINATE,True,,,year,passed
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,permanent_job,entered,ENTITY,True,,anaphoric_containment,permanent_job,entered;permanent;lost
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,rating_C_or_less,triggered,INDETERMINATE,True,,,rating_C_or_less,triggered
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_offers_continued,received,INDETERMINATE,True,,,job_offers_continued,received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,reporting_continued,required,INDETERMINATE,True,,,reporting_continued,required
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job_application,reported;received;rated,ENTITY,True,,,job_application,reported;received;rated
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job_offer,sent;negotiated,ENTITY,True,,,job_offer,sent;negotiated
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,probation,entered;completed,INDETERMINATE,True,,,probation,entered;completed
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,company,rated;reviewed,ACTOR,False,,,,
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job,temporary;permanent,ENTITY,True,,,job,temporary;permanent
one_shot,qwen/qwen3.6-27b,job_application,job_application,reported;received;rated,ENTITY,True,,,job_application,reported;received;rated
one_shot,qwen/qwen3.6-27b,job_application,job_offer,sent;negotiated,ENTITY,True,,,job_offer,sent;negotiated
one_shot,qwen/qwen3.6-27b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,qwen/qwen3.6-27b,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,qwen/qwen3.6-27b,job_application,review,rated;visible,ENTITY,True,,,review,rated;visible
one_shot,qwen/qwen3.6-27b,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,cohere/north-mini-code:free,job_application,job_application,submitted;received;rated,ENTITY,True,,,job_application,submitted;received;rated
one_shot,cohere/north-mini-code:free,job_application,company,confirmed;rated,ACTOR,False,,,,
one_shot,cohere/north-mini-code:free,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,cohere/north-mini-code:free,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,cohere/north-mini-code:free,job_application,review,visible,ENTITY,True,,,review,visible
one_shot,cohere/north-mini-code:free,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,cohere/north-mini-code:free,job_application,permanent_job,ended,ENTITY,True,,,permanent_job,ended
one_shot,cohere/north-mini-code:free,job_application,report,required,ENTITY,True,,,report,required
